planName, telemetryRowIndex, microsecondsSinceGpsEpoch, wattsPerM2, wavelength
UpScan, 41234, 943429145250000.2, 0.0011450419306204783, 175.4
UpScan, 41360, 943429365750000.2, 0.0011424046128575428, 175.4
UpScan, 41361, 943429367500000.2, 0.0011452314420456273, 175.4
UpScan, 41232, 943429141750000.2, 0.001149870118462435, 175.41
UpScan, 41362, 943429369250000.2, 0.0011461485133643352, 175.41
UpScan, 41230, 943429138250000.2, 0.0011564966368248744, 175.42
UpScan, 41231, 943429140000000.2, 0.0011544687696992699, 175.42
UpScan, 41363, 943429371000000.2, 0.0011519257837318828, 175.42
UpScan, 41364, 943429372750000.2, 0.0011558464109321363, 175.42
UpScan, 41229, 943429136500000.2, 0.0011631727905044985, 175.43
UpScan, 41365, 943429374500000.2, 0.0011623826126131898, 175.43
UpScan, 41227, 943429133000000.2, 0.001180185889776869, 175.44
UpScan, 41228, 943429134750000.2, 0.0011707579236010987, 175.44
UpScan, 41366, 943429376250000.2, 0.0011671852722327548, 175.44
UpScan, 41367, 943429378000000.2, 0.0011765806587750963, 175.44
UpScan, 41226, 943429131250000.2, 0.0011898013949327144, 175.45
UpScan, 41368, 943429379750000.2, 0.0011891350027887718, 175.45
UpScan, 41224, 943429127750000.2, 0.001213742252245027, 175.46
UpScan, 41225, 943429129500000.2, 0.0012014604549806364, 175.46
UpScan, 41369, 943429381500000.2, 0.00119676813715036, 175.46
UpScan, 41370, 943429383250000.2, 0.0012089154472919297, 175.46
UpScan, 41222, 943429124250000.2, 0.001237641833833476, 175.47
UpScan, 41223, 943429126000000.2, 0.001225545778172941, 175.47
UpScan, 41371, 943429385000000.2, 0.0012227803466990919, 175.47
UpScan, 41372, 943429386750000.2, 0.0012361715182407325, 175.47
UpScan, 41221, 943429122500000.2, 0.001254014630869031, 175.48
UpScan, 41373, 943429388500000.2, 0.0012495255243690382, 175.48
UpScan, 41219, 943429119000000.2, 0.0012823582240059017, 175.49
UpScan, 41220, 943429120750000.2, 0.001266530474794458, 175.49
UpScan, 41374, 943429390250000.2, 0.0012641686114439942, 175.49
UpScan, 41375, 943429392000000.2, 0.0012811934910654861, 175.49
UpScan, 41218, 943429117250000.2, 0.0012934366926069072, 175.5
UpScan, 41376, 943429393750000.2, 0.0012920782548312352, 175.5
UpScan, 41216, 943429113750000.2, 0.0013205650001045035, 175.51
UpScan, 41217, 943429115500000.2, 0.0013098629943569368, 175.51
UpScan, 41377, 943429395500000.2, 0.0013044602978357842, 175.51
UpScan, 41378, 943429397250000.2, 0.0013165195254435315, 175.51
UpScan, 41215, 943429112000000.2, 0.00132999058967401, 175.52
UpScan, 41379, 943429399000000.2, 0.0013291509539564471, 175.52
UpScan, 41213, 943429108500000.2, 0.0013455926614525681, 175.53
UpScan, 41214, 943429110250000.2, 0.001340045308212821, 175.53
UpScan, 41380, 943429400750000.2, 0.001338010271518768, 175.53
UpScan, 41381, 943429402500000.2, 0.0013440076911660995, 175.53
UpScan, 41211, 943429105000000.2, 0.0013551831249750744, 175.54
UpScan, 41212, 943429106750000.2, 0.0013541509748739955, 175.54
UpScan, 41382, 943429404250000.2, 0.0013490803798130795, 175.54
UpScan, 41383, 943429406000000.2, 0.0013517813847754032, 175.54
UpScan, 41210, 943429103250000.2, 0.001351648520297657, 175.55
UpScan, 41384, 943429407750000.2, 0.0013524319284810666, 175.55
UpScan, 41208, 943429099750000.2, 0.0013415603835929854, 175.56
UpScan, 41209, 943429101500000.2, 0.0013510633567811996, 175.56
UpScan, 41385, 943429409500000.2, 0.0013439994967691972, 175.56
UpScan, 41386, 943429411250000.2, 0.001335329259289234, 175.56
UpScan, 41207, 943429098000000.2, 0.0013270441262656907, 175.57
UpScan, 41387, 943429413000000.2, 0.001324506067485101, 175.57
UpScan, 41205, 943429094500000.2, 0.0012994146678856403, 175.58
UpScan, 41206, 943429096250000.2, 0.0013155913842435253, 175.58
UpScan, 41388, 943429414750000.2, 0.0013115822855749091, 175.58
UpScan, 41389, 943429416500000.2, 0.0012910295904024363, 175.58
UpScan, 41204, 943429092750000.2, 0.0012784730722416805, 175.59
UpScan, 41390, 943429418250000.2, 0.001273941665928507, 175.59
UpScan, 41202, 943429089250000.2, 0.0012426307237908196, 175.6
UpScan, 41203, 943429091000000.2, 0.0012623220732401214, 175.6
UpScan, 41391, 943429420000000.2, 0.0012585400140946738, 175.6
UpScan, 41392, 943429421750000.2, 0.0012399898927400578, 175.6
UpScan, 41200, 943429085750000.2, 0.0012166280062351658, 175.61
UpScan, 41201, 943429087500000.2, 0.0012286628828583343, 175.61
UpScan, 41393, 943429423500000.2, 0.0012241344372174363, 175.61
UpScan, 41394, 943429425250000.2, 0.0012125216005015973, 175.61
UpScan, 41199, 943429084000000.2, 0.0012061091145218017, 175.62
UpScan, 41395, 943429427000000.2, 0.0012012158168283318, 175.62
UpScan, 41197, 943429080500000.2, 0.0011918203689585277, 175.63
UpScan, 41198, 943429082250000.2, 0.0011980965656600935, 175.63
UpScan, 41396, 943429428750000.2, 0.0011932314453600348, 175.63
UpScan, 41397, 943429430500000.2, 0.0011886317176076895, 175.63
UpScan, 41196, 943429078750000.2, 0.0011868360187927917, 175.64
UpScan, 41398, 943429432250000.2, 0.0011818609507896055, 175.64
UpScan, 41194, 943429075250000.2, 0.0011849351897684757, 175.65
UpScan, 41195, 943429077000000.2, 0.0011836679260276673, 175.65
UpScan, 41399, 943429434000000.2, 0.0011828790074261215, 175.65
UpScan, 41400, 943429435750000.2, 0.001182785892437308, 175.65
UpScan, 41193, 943429073500000.2, 0.0011884870283427357, 175.66
UpScan, 41401, 943429437500000.2, 0.001185235680645196, 175.66
UpScan, 41191, 943429070000000.2, 0.001192407571583093, 175.67
UpScan, 41192, 943429071750000.2, 0.0011892771057206747, 175.67
